Name                          | Version         | Licenses
----                          | -------         | --------
Inflector                     | 0.11.4          | BSD-2-Clause
adler32                       | 1.0.3           | BSD-3-Clause AND Zlib
ahash                         | 0.2.12          | MIT OR Apache-2.0
aho-corasick                  | 0.7.6           | MIT, Unlicense
ansi_term                     | 0.11.0          | MIT
argon2rs                      | 0.2.5           | MIT
arrayvec                      | 0.4.11          | Apache-2.0, MIT
assert_cmd                    | 0.11.1          | MIT OR Apache-2.0
atty                          | 0.2.13          | MIT
autocfg                       | 0.1.5           | Apache-2.0, MIT
backtrace                     | 0.3.33          | Apache-2.0, MIT
backtrace-sys                 | 0.1.31          | Apache-2.0, MIT
base64                        | 0.10.1          | Apache-2.0, MIT
base64                        | 0.9.3           | Apache-2.0, MIT
bitflags                      | 1.1.0           | Apache-2.0, MIT
blake2-rfc                    | 0.2.18          | MIT OR Apache-2.0
block-buffer                  | 0.7.3           | MIT OR Apache-2.0
block-padding                 | 0.1.4           | MIT OR Apache-2.0
bstr                          | 0.2.6           | MIT OR Apache-2.0
byte-tools                    | 0.3.1           | MIT OR Apache-2.0
byteorder                     | 1.3.2           | Unlicense OR MIT
bytes                         | 0.4.12          | MIT
bzip2                         | 0.3.3           | Apache-2.0, MIT
bzip2-sys                     | 0.1.7           | Apache-2.0, MIT
c2-chacha                     | 0.2.2           | Apache-2.0, MIT
cc                            | 1.0.38          | Apache-2.0, MIT
cfg-if                        | 0.1.9           | Apache-2.0, MIT
chrono                        | 0.4.7           | Apache-2.0, MIT
clap                          | 2.33.0          | MIT
clicolors-control             | 1.0.0           | MIT
cloudabi                      | 0.0.3           | BSD-2-Clause
console                       | 0.7.7           | MIT
const-random                  | 0.1.6           | MIT OR Apache-2.0
const-random-macro            | 0.1.6           | MIT OR Apache-2.0
constant_time_eq              | 0.1.3           | CC0-1.0
cookie                        | 0.12.0          | Apache-2.0, MIT
cookie_store                  | 0.7.0           | Apache-2.0, MIT
core-foundation               | 0.6.4           | Apache-2.0, MIT
core-foundation-sys           | 0.6.2           | Apache-2.0, MIT
crc32fast                     | 1.2.0           | MIT OR Apache-2.0
crossbeam-deque               | 0.7.1           | Apache-2.0, MIT
crossbeam-epoch               | 0.7.2           | Apache-2.0, MIT
crossbeam-queue               | 0.1.2           | Apache-2.0, MIT
crossbeam-utils               | 0.6.6           | Apache-2.0, MIT
deunicode                     | 0.4.3           | BSD-3-Clause
dialoguer                     | 0.4.0           | MIT
difference                    | 2.0.0           | MIT
digest                        | 0.8.1           | MIT OR Apache-2.0
directories                   | 2.0.2           | MIT OR Apache-2.0
dirs                          | 1.0.5           | MIT OR Apache-2.0
dirs                          | 2.0.2           | MIT OR Apache-2.0
dirs-sys                      | 0.3.4           | MIT OR Apache-2.0
doc-comment                   | 0.3.1           | MIT
dtoa                          | 0.4.4           | Apache-2.0, MIT
either                        | 1.5.2           | Apache-2.0, MIT
